name;brand;cuisine;website;lng;lat
Burger King;Burger King;burger;;4.8797456;44.9058762
McDonald's;McDonald's;burger;;4.7684822;45.7642814
McDonald's;McDonald's;burger;;4.8342288;45.7581985
McDonald's;McDonald's;burger;;4.7705125;45.7522008
McDonald's;McDonald's;burger;;4.8382056;45.7264672
McDonald's;McDonald's;burger;;4.8781145;45.742959
Chamas Tacos;Chamas Tacos;french_tacos;;4.833643;45.7534034
La rose des sables 2;;burger,tacos;;3.869655;43.6290981
D'ici et d'ailleurs;;kebab,tacos,sandwich,burger;;2.0691733;48.7994109
Le délice;;kebab,pizza;;2.0677667;48.7996644
Pizza Mama;;pizza;;2.0648466;48.7961086
Intermezzo;;;;2.222961;48.8947169
Big Fernand;Big Fernand;burger;https://bigfernand.com/restaurants/nanterre-2/;2.2311932;48.8942633
McDonald's;McDonald's;burger;;2.2258409;48.9012749
McDonald's Saint-Orens;McDonald's;burger;https://www.mcdonalds.fr/restaurants/mcdonalds-saint-orens/715;1.5147904;43.5648422
Istanbul;;kebab;;2.2230285;48.8952256
Yankee burger;;sandwich;;2.2228447;48.8944603
;Comptoir des gourmands;sandwich;;2.2229188;48.8959177
Delicatessen;;;;2.2227828;48.895856
Pizza Roma;;;;6.0194282;45.4322035
McDonald's;McDonald's;burger;;2.465977;49.0206836
McDonald's;McDonald's;burger;;4.8429762;45.7550226
Burger King;Burger King;burger;;2.1311877;48.8069511
McDonald's;McDonald's;burger;https://m.restaurants.mcdonalds.fr/mcdonalds-versailles-rive-droite;2.1312738;48.8056495
McDonald's;McDonald's;burger;;2.2063039;48.8221409
Antalya;;kebab;;4.8698435;45.7427751
Burger Dream;;burger,hot_dog;https://burgerdream.fr/;7.7579309;48.6026286
Débololo;;sandwich,french,coffee_shop,tapas,tartes_sucrées,tartes_salées;;-1.5726449;43.4677887
McDonald's;McDonald's;burger;;1.3704832;43.5113352
McDonald's;McDonald's;burger;;4.7755293;45.7340735
McDonald's;McDonald's;burger;;7.0872968;43.6034292
O'Tacos;O'Tacos;mexican;;2.3310313;48.8442685
Pizzacosy;;pizza;https://pizzacosy.fr/pizzeria-lyon-9;4.8048552;45.778555
69 Street;;;;4.803611;45.7795333
Le Roll;;sandwich,bowl;https://www.leroll.fr;1.4440857;43.5988222
Tripletta;;pizza;https://triplettapizza.com/restaurant/tripletta-des-carmes/;1.4441038;43.5983457
Kemer Kebab;;;;-4.3691653;48.3739881
Zappo Saint-Paul;Zappo;pizza;https://www.zappo.fr/zappo-st-paul/;4.8287233;45.765964
La Fabrique Gourmande;;;https://fabriquegourmande.fr/;4.8586779;45.7562648
Burger King;Burger King;burger;;2.2484098;48.7697852
McDonald's;McDonald's;burger;;5.0370533;47.3223309
Nachos;;mexican;https://nachos.fr;4.8347314;45.7573666
McDonald's;McDonald's;burger;;5.0637988;47.3151737
McDonald's;McDonald's;burger;https://www.restaurants.mcdonalds.fr/mcdonalds-toulouse-labege;1.5021714;43.5502529
McDonald's;McDonald's;burger;;5.0340198;47.3366907
McDonald's;McDonald's;burger;;1.4967295;43.5199935
McDonald's;McDonald's;burger;;5.3317948;47.8444084
Sushi Shop;Sushi Shop;sushi;https://www.sushishop.fr/fr/restaurant/tassin;4.781903;45.7641596
Chez Abi;;kebab;;-0.4044941;49.1871524
McDonald's Lyon Charcot;McDonald's;burger;https://www.restaurants.mcdonalds.fr/mcdonalds-lyon-charcot;4.8053445;45.7543437
McDonald's;McDonald's;burger;;-2.0683676;47.6697722
McDonald's;McDonald's;burger;;2.0065161;46.9526891
